pipeline,detector,candidate_id,parameters,policy_id,policy_semantics,selection_policy,healthy_windows,ambiguous_windows,anomalous_windows,pr_auc,roc_auc,selection_mean_pr_auc,selection_mean_roc_auc
p1_k6,one_class_svm,one_class_svm_candidate_1,"{""gamma"": ""scale"", ""nu"": 0.01}",normalized_life_last_10pct_endpoint,endpoint,True,8253,0,1112,0.35882542755727653,0.879619532291288,0.6352188949599743,0.9160832418214309
p1_k6,one_class_svm,one_class_svm_candidate_1,"{""gamma"": ""scale"", ""nu"": 0.01}",normalized_life_last_20pct_endpoint,endpoint,True,7170,0,2195,0.6838828957540873,0.927596858588843,0.6352188949599743,0.9160832418214309
p1_k6,one_class_svm,one_class_svm_candidate_1,"{""gamma"": ""scale"", ""nu"": 0.01}",normalized_life_last_20pct_full_window,full_window,False,7170,1505,690,0.4164152082076041,0.9325662482566248,0.6352188949599743,0.9160832418214309
p1_k6,one_class_svm,one_class_svm_candidate_1,"{""gamma"": ""scale"", ""nu"": 0.01}",normalized_life_last_30pct_endpoint,endpoint,True,6075,0,3290,0.8629483615685593,0.9410333345841619,0.6352188949599743,0.9160832418214309
p1_k6,one_class_svm,one_class_svm_candidate_1,"{""gamma"": ""scale"", ""nu"": 0.01}",normalized_life_last_30pct_full_window,full_window,False,6075,1508,1782,0.8384898345447754,0.9711283849006758,0.6352188949599743,0.9160832418214309
p1_k6,one_class_svm,one_class_svm_candidate_2,"{""gamma"": ""scale"", ""nu"": 0.05}",normalized_life_last_10pct_endpoint,endpoint,True,8253,0,1112,0.6017947290249777,0.9543969513593051,0.8116872235581801,0.962271549783885
p1_k6,one_class_svm,one_class_svm_candidate_2,"{""gamma"": ""scale"", ""nu"": 0.05}",normalized_life_last_20pct_endpoint,endpoint,True,7170,0,2195,0.8977265151365204,0.974660458821399,0.8116872235581801,0.962271549783885
p1_k6,one_class_svm,one_class_svm_candidate_2,"{""gamma"": ""scale"", ""nu"": 0.05}",normalized_life_last_20pct_full_window,full_window,False,7170,1505,690,0.8561627002327684,0.9918477755543428,0.8116872235581801,0.962271549783885
p1_k6,one_class_svm,one_class_svm_candidate_2,"{""gamma"": ""scale"", ""nu"": 0.05}",normalized_life_last_30pct_endpoint,endpoint,True,6075,0,3290,0.9355404265130426,0.9577572391709507,0.8116872235581801,0.962271549783885
p1_k6,one_class_svm,one_class_svm_candidate_2,"{""gamma"": ""scale"", ""nu"": 0.05}",normalized_life_last_30pct_full_window,full_window,False,6075,1508,1782,0.9804949455449944,0.9953407878510759,0.8116872235581801,0.962271549783885
p1_k6,one_class_svm,one_class_svm_candidate_3,"{""gamma"": ""scale"", ""nu"": 0.1}",normalized_life_last_10pct_endpoint,endpoint,True,8253,0,1112,0.6502568946346309,0.961839034770003,0.8328076731468985,0.9643711100022
p1_k6,one_class_svm,one_class_svm_candidate_3,"{""gamma"": ""scale"", ""nu"": 0.1}",normalized_life_last_20pct_endpoint,endpoint,True,7170,0,2195,0.915018491828626,0.9760951890787672,0.8328076731468985,0.9643711100022
p1_k6,one_class_svm,one_class_svm_candidate_3,"{""gamma"": ""scale"", ""nu"": 0.1}",normalized_life_last_20pct_full_window,full_window,False,7170,1505,690,0.919951977445153,0.995603763669072,0.8328076731468985,0.9643711100022
p1_k6,one_class_svm,one_class_svm_candidate_3,"{""gamma"": ""scale"", ""nu"": 0.1}",normalized_life_last_30pct_endpoint,endpoint,True,6075,0,3290,0.9331476329774385,0.9551791061578296,0.8328076731468985,0.9643711100022
p1_k6,one_class_svm,one_class_svm_candidate_3,"{""gamma"": ""scale"", ""nu"": 0.1}",normalized_life_last_30pct_full_window,full_window,False,6075,1508,1782,0.9806279866253147,0.9949623348251606,0.8328076731468985,0.9643711100022
p1_k6,pca,pca_candidate_1,"{""n_components"": 0.9}",normalized_life_last_10pct_endpoint,endpoint,True,8253,0,1112,0.621152906982635,0.9541733025793105,0.7724072946895637,0.9250344981872701
p1_k6,pca,pca_candidate_1,"{""n_components"": 0.9}",normalized_life_last_20pct_endpoint,endpoint,True,7170,0,2195,0.8430211148402714,0.939279648497441,0.7724072946895637,0.9250344981872701
p1_k6,pca,pca_candidate_1,"{""n_components"": 0.9}",normalized_life_last_20pct_full_window,full_window,False,7170,1505,690,0.8285249959421571,0.9892013825723122,0.7724072946895637,0.9250344981872701
p1_k6,pca,pca_candidate_1,"{""n_components"": 0.9}",normalized_life_last_30pct_endpoint,endpoint,True,6075,0,3290,0.8530478622457849,0.8816505434850589,0.7724072946895637,0.9250344981872701
p1_k6,pca,pca_candidate_1,"{""n_components"": 0.9}",normalized_life_last_30pct_full_window,full_window,False,6075,1508,1782,0.9297921134531624,0.9714921044001977,0.7724072946895637,0.9250344981872701
p1_k6,pca,pca_candidate_2,"{""n_components"": 0.95}",normalized_life_last_10pct_endpoint,endpoint,True,8253,0,1112,0.5501413828361955,0.9347800930466096,0.6941707106504094,0.8935737617533017
p1_k6,pca,pca_candidate_2,"{""n_components"": 0.95}",normalized_life_last_20pct_endpoint,endpoint,True,7170,0,2195,0.7530567338812121,0.9090885523393791,0.6941707106504094,0.8935737617533017
p1_k6,pca,pca_candidate_2,"{""n_components"": 0.95}",normalized_life_last_20pct_full_window,full_window,False,7170,1505,690,0.6852878854657636,0.9753421057950802,0.6941707106504094,0.8935737617533017
p1_k6,pca,pca_candidate_2,"{""n_components"": 0.95}",normalized_life_last_30pct_endpoint,endpoint,True,6075,0,3290,0.7793140152338205,0.8368526398739164,0.6941707106504094,0.8935737617533017
p1_k6,pca,pca_candidate_2,"{""n_components"": 0.95}",normalized_life_last_30pct_full_window,full_window,False,6075,1508,1782,0.837742536443594,0.9428026030769515,0.6941707106504094,0.8935737617533017
p1_k6,pca,pca_candidate_3,"{""n_components"": 0.99}",normalized_life_last_10pct_endpoint,endpoint,True,8253,0,1112,0.672190780314629,0.9564470560955816,0.7493943256799337,0.8991347487905381
p1_k6,pca,pca_candidate_3,"{""n_components"": 0.99}",normalized_life_last_20pct_endpoint,endpoint,True,7170,0,2195,0.7951557873492969,0.9110881520382003,0.7493943256799337,0.8991347487905381
p1_k6,pca,pca_candidate_3,"{""n_components"": 0.99}",normalized_life_last_20pct_full_window,full_window,False,7170,1505,690,0.8401245826768297,0.9890975885836719,0.7493943256799337,0.8991347487905381
p1_k6,pca,pca_candidate_3,"{""n_components"": 0.99}",normalized_life_last_30pct_endpoint,endpoint,True,6075,0,3290,0.7808364093758751,0.8298690382378324,0.7493943256799337,0.8991347487905381
p1_k6,pca,pca_candidate_3,"{""n_components"": 0.99}",normalized_life_last_30pct_full_window,full_window,False,6075,1508,1782,0.8716227189592448,0.9469726990988993,0.7493943256799337,0.8991347487905381
