candidate_id,detector_id,policy_id,engine,onset_cycle,max_cycle,first_detection_end_cycle,detected,missed,false_event_count,healthy_false_alert,crossing_event_count,total_event_count,first_alert_delay,lead_cycles
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,52,140,174,146.0,True,False,0,False,0,1,6.0,28.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,66,137,170,146.0,True,False,0,False,0,1,9.0,24.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,73,192,239,225.0,True,False,0,False,0,1,33.0,14.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,81,231,288,242.0,True,False,0,False,0,1,11.0,46.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,94,245,306,268.0,True,False,0,False,0,1,23.0,38.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,102,132,164,151.0,True,False,0,False,0,1,19.0,13.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,106,218,272,252.0,True,False,1,True,1,2,34.0,20.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,109,177,220,209.0,True,False,1,True,1,2,32.0,11.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,114,163,203,,False,True,1,True,1,1,,
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,120,104,129,122.0,True,False,0,False,0,1,18.0,7.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,125,135,168,156.0,True,False,0,False,0,1,21.0,12.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,126,160,199,190.0,True,False,0,False,0,1,30.0,9.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,128,243,303,264.0,True,False,0,False,0,2,21.0,39.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,134,198,247,210.0,True,False,0,False,0,2,12.0,37.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,140,172,214,208.0,True,False,0,False,0,1,36.0,6.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,144,180,224,199.0,True,False,1,True,1,2,19.0,25.0
